date,date_posted,text,Subjectivity,Polarity,Analysis
2020-10-07 22:42:00,17 minutes , Hey Trumptards!!!!! Your VP got absolutely OWNED tonight!!!!!!!!!!!!!!!!!!!,0.9,1.0,Positive
2020-10-07 22:54:00,5 minutes , If Joe Biden loses does that mean he's NOT gonna tell us his ROCK SOLID plan to end Corona virus ??,0.29583333333333334,-0.2041666666666667,Negative
2020-10-07 17:59:00,5 hours , Lets do some basic math here. I just bought a model Y and paid $58000 if TSLA produces 500000 vehicles with average price of $58000 that would be $29B dollars. Wow,0.5083333333333333,-0.016666666666666663,Negative
2020-10-07 22:36:00,23 minutes , Anyone else think we will be up +4.20 when the market opens?,0.0,0.0,Neutral
2020-10-07 22:08:00,51 minutes , The fake news are trying to take the thunder from trump saying futures up because of stimulus potential,1.0,-0.25,Negative
2020-10-07 22:42:00,17 minutes , I told you she would lie.,0.0,0.0,Neutral
2020-10-07 22:33:00,26 minutes ," For all you paid trump trolls, Kamala won the debate from a guy who could not even swat a fly off his head, and polls look like trump will be lucky to get 39 electoral votes.",0.8666666666666667,0.5666666666666667,Positive
2020-10-07 22:00:00,59 minutes , Did some good new news come out about Tesla tonight? I was too busy watching Kamala get spanked.,0.4515151515151516,0.3121212121212121,Positive
2020-10-07 22:41:00,18 minutes ," They took down my post about post about Kalama Harris calling Joe Biden a RACIST , A RAPEST , AND HORRIBLE CANIDATE !!! ^ MONTHS AGO !!",0.6444444444444445,-0.5777777777777778,Negative
2020-10-07 22:31:00,28 minutes , Bulls screwed. Kamala disavowed green deal and supported oil. Lots of hyped solar stocks about to crash,0.3,-0.2,Negative
2020-10-07 22:42:00,17 minutes , Ill be happy when this election is over. T minus less than one month.,0.5416666666666667,0.008333333333333345,Positive
2020-10-07 22:33:00,26 minutes , Fogey is building his castle on lies. Mini Lenin and Nadhezda Krupskaya Cortez keep deceiving American folks day in and day out. Just like Real Lenin was fooling masses in Old Russia.,0.16666666666666666,0.10000000000000002,Positive
2020-10-07 22:40:00,19 minutes , PENCE BODIED KAMALA!!!,0.0,0.0,Neutral
2020-10-07 22:35:00,24 minutes ," Zest vs Walmart, check out the new post with all bullet points this is a slam dunk case for Zest 9 counts stand firm, x Walmart CEO subpoenaed along with IBM. Jurry trial schedule for March 29th Walmart's in hot water with the IBM food trust and needs to move forward with the FDA buyout settlement imminent",0.5681818181818182,0.06212121212121211,Positive
2020-10-07 22:30:00,29 minutes , Pence made that gal look foolish,0.0,0.0,Neutral
2020-10-07 22:16:00,43 minutes , kamala got spanked so hard CNN is working overdrive trying to spin Kamala somehow winning the debate. lol.,0.6638888888888889,0.3361111111111111,Positive
2020-10-01 22:59:00,6 days ," Keep hearing about the $25k model 3, but when are they gonna release the $35k model 3? The Chinese version with subsidies is still over $35k after another price drop.",0.0,0.0,Neutral
2020-10-07 22:28:00,31 minutes , Futures now 100 points Green because Pence beat the dromedary badly this evening.,0.4833333333333333,-0.44999999999999996,Negative
2020-10-07 21:59:00,1 hour , Pence is one class act!,0.0,0.0,Neutral
2020-10-07 21:59:00,1 hour , CNN = Communist News Network,0.0,0.0,Neutral
2020-10-07 20:59:00,2 hours ," With all due respect to Harris, her voice is a bit annoying. She should speak more calmly.",0.63125,-0.03125,Negative
2020-10-07 21:59:00,1 hour , should be a no brainer! that woman was a complete total joke and should have never been given that seat to speak,0.575,0.05,Positive
2020-10-07 20:59:00,2 hours , KAMALA PACKING THE SUPREME COUIS A FACT -- LOOK SHE AND JOE WILL NOT ANSWER,0.0,0.0,Neutral
2020-10-07 22:25:00,34 minutes , We all know who got spanked :),1.0,0.5,Positive
2020-10-07 21:59:00,1 hour ," Bottom line is trump the Clown did not defend you against the Chinese virus or the French virus or whoever virus , He failed",0.09999999999999999,-0.16666666666666666,Negative
2020-10-07 22:00:00,59 minutes ," How do you get 20 years of prosperity for all Americans? Here's how: 2020-2024 trump/pence, 2024-2032 pence/trump jr., 2032-2040 trump jr./ivanka...",0.0,0.0,Neutral
2020-10-07 22:24:00,35 minutes , Taneja Vaibhav sold his some stock,0.0,0.0,Neutral
2020-10-07 22:23:00,36 minutes ," The little girl from Kalifornia was bused to school everyday to a good, safe school, while sleepy joey and his segregationist dem buddies worked hard to end integration busing ... the truth and facts of the matter...",0.5483333333333333,0.10416666666666666,Positive
2020-10-07 22:01:00,58 minutes , MSNBC= Marxist Socialist News Broadcast Corporation,0.0,0.0,Neutral
2020-10-07 21:59:00,1 hour ," In spite of what the lib talking heads on NBC are saying after,.. Chucktard is claiming Pence evaded,... Pence cleaned Harris' cuckoo clock.",0.0,0.0,Neutral
2020-10-07 21:59:00,1 hour , No one cares what Chris Wallace says. NOONE,0.0,0.0,Neutral
2020-10-07 21:59:00,1 hour ," Trump is great, but to be honest, I wouldn't mind if Pence was president. But hey, they're in the same team, the dream team, youpiiii",0.5916666666666667,0.4666666666666666,Positive
2020-10-07 22:21:00,38 minutes , Cameltoe got spanked.,0.0,0.0,Neutral
2020-10-07 11:59:00,11 hours ," Tesla has a shot at producing 500,000 cars this year, Musk says in memo",0.0,0.0,Neutral
2020-10-07 22:05:00,54 minutes , say what you want but the bookmakers are favoring biden even more at -200 now....sorry not sorry...facts....biden baby,0.5,0.5,Positive
2020-10-07 22:12:00,47 minutes , You cannot even read the news anymore they all lie and spin what we saw with our own eyes,1.0,0.6,Positive
2020-10-07 21:59:00,1 hour , Cameltoe got her vaj kicked in.,0.0,0.0,Neutral
2020-10-07 22:12:00,47 minutes , Fact is sleepy Joe can't tell the difference between truth and facts...,0.0,0.0,Neutral
2020-10-07 21:59:00,1 hour , Even Fox news said Pence failed,0.3,-0.5,Negative
2020-10-07 08:59:00,14 hours , Tesla may have to compete with Hydrogen Fuel Cells in the future. Hyundai has put out this 'marketing' piece looking at the 'hydrogen economy' as they call it.,0.125,0.0,Neutral
2020-10-07 22:10:00,49 minutes , Pence Crushed Harris -Thats why the futures are up. They took off right near the end of the debate . Nobody wants unlimited lock downs created by the Covid HOaxathon,0.2839285714285714,0.12142857142857143,Positive
2020-10-07 21:59:00,1 hour , It is official we all here hate Kamala and moron joe just look at the approvals of pence and trump and get a real view of what the country wants,0.5750000000000001,-0.30000000000000004,Negative
2020-10-07 15:59:00,7 hours ," Mike K has made twenty post in the last three hours. times $.15 per post, the boiler room clerk has made $3.00 bucks. Here he is telling some of us who hold over 500 shares of Tesla to sell",0.06666666666666667,0.0,Neutral
2020-10-07 21:59:00,1 hour , bidens odds in vegas just moved -200...I guess kamala took that one,0.0,0.0,Neutral
2020-10-07 21:59:00,1 hour ," $%$out of you. Why he will sell his mother if it would hurt the guys shorting tesla; read onNow a new email leaked on Tesla fan site Tesmanian hints the company could break its 2020 goal of producing over 500,000 vehicles for the year. To reach this goal, Tesla will need to produce approximately 182,000 vehicles, around 40,000 more than the company's previous quarter production of 145,000 units.See Also: Tesla Option Trader Bets M On 29% Upside From Here""It will be tough, but super exciting if we can exceed half a million cars made in a single year for the first time in Tesla history!"" said Musk's email, according to the leak.""When we started Tesla just over 16 years ago, I never thought we would get this far, but, thanks to your hard work and ingenuity, we actually have a chance of making half a million cars in a single year. Wow, that is so incredible!! This all comes down to Q4. Please take whatever steps you can think of to improve output (while increasing quality).""Benzinga's Take: Email ""leaks"" have become pretty common for Telsa in recent years. After nearly facing bankruptcy during the Model 3 ramp-up in 2017, the company and stock have been a massive roll, running up from a split-adjusted share price of around $70 to its current price north of $420.",0.5078802308802309,0.046129148629148624,Positive
2020-10-07 21:59:00,1 hour , Pencie won hands down cause Kamala and joe have no game,0.34444444444444444,0.022222222222222213,Positive
2020-10-07 19:59:00,3 hours , Tesla wins Street-high $578 price target as New Street sees 'hyper growth',0.32727272727272727,0.21818181818181817,Positive
2020-10-07 21:59:00,1 hour ," Sir, how do you explain spreading the virus at the white house by your boss ? Oh oh of course president trump trust the American people......hahahaaaa",0.0,0.0,Neutral
2020-10-07 20:59:00,2 hours , LOL!! Biden saved the auto industry!!,0.7,1.0,Positive
2020-10-07 21:59:00,1 hour , FLY 2020!!,0.9,1.0,Positive
2020-10-07 20:59:00,2 hours , According to her Catholic President of USA is okey but Catholic Justice of Supreme Court is not. What a hypocrite.,0.1,0.0,Neutral
2020-10-07 21:59:00,1 hour , Facebook KILLER : Tesla Yahoo board,0.0,0.0,Neutral
2020-10-07 20:59:00,2 hours , that fly was on pence head for a min lmao,0.95,0.7,Positive
2020-10-07 21:59:00,1 hour , TRUMP /PENCE 2020,0.0,0.0,Neutral
2020-10-07 21:59:00,1 hour , the fly on pence head going viral...I wonder how many dumps that fly took on his pea head,0.7666666666666666,0.7000000000000001,Positive
2020-10-07 21:59:00,1 hour , You are the best champions !!! Super proud to be in your company,0.6555555555555556,0.7111111111111111,Positive
2020-10-07 21:59:00,1 hour ," Pence the clear winner,kamala looked like she didnt know where she was at maybe california, trump will go in 4 more years thank god",0.44166666666666665,0.3,Positive
2020-10-07 21:59:00,1 hour , CNN first article on the debate : Pence interrupted Harris.,0.3333333333333333,0.25,Positive
2020-10-07 21:59:00,1 hour , LMAO.,1.0,0.6,Positive
