date,date_posted,headline,text
2020-10-12,14 hours ,"tesla cuts prices of model s in united states, china","tesla inc said on tuesday it cut the price of its model s ""long range"" sedan by 4% in the united states, days after the electric-car maker reported record quarterly deliveries."
2020-10-12,17 hours ,"tesla cuts prices of model s variant in united states, china","tesla inc said on tuesday it has cut the price of its model s ""long range"" sedan by 4% in the united states, days after the electric-car maker reported record quarterly deliveries."
2020-10-10,3 days ,tesla battery supplier lg chem forecasts record third-quarter profit,"south korea's lg chem ltd, an electric vehicle (ev) battery supplier for tesla and a petrochemicals maker, said on monday its third-quarter operating profit likely jumped to a record high, beating analysts' estimates."
2020-10-07,6 days ,ex-tesla exec straubel aims to build world's top battery recycler,"(this oct 7 story corrects paragraph 4 to say 10,000 cars, not 100 cars)"
2020-10-06,7 days ,"musk says tesla to use new batteries, tech at berlin factory; flags production risk","tesla inc  chief executive elon musk said on wednesday the company will produce model y with a new structural battery design and technology at its berlin factory next year and that could result in a ""significant production risk""."
2020-10-06,7 days ,"tesla has a shot at producing 500,000 cars this year, musk says in memo","tesla inc  has a chance at producing 500,000 cars this year, chief executive officer elon musk told employees, according to an internal email seen by reuters."
2020-10-06,7 days ,tesla has a shot at producing half a million cars in 2020- memo,"tesla inc has a chance at producing 500,000 cars this year, chief executive officer elon musk told employees, according to an internal mail viewed by reuters."
2020-10-05,8 days ,tesla in talks with bhp over nickel supply pact - bloomberg news,"tesla inc  is in talks with bhp group  about a nickel supply deal as the electric-car maker targets higher production and seeks to avoid a supply crunch, bloomberg news reported on tuesday, citing people familiar with the matter."
2020-10-05,8 days ,tesla's quarterly report could land musk another $3 billion,tesla's  upcoming quarterly report could put another $3 billion (£2.32 billion) in chief executive elon musk's pocket.
2020-10-05,8 days ,tesla disbands u.s. media relations team - electrek,"tesla inc has dissolved its media relations team in the united states, news website electrek reported on tuesday, in yet another unconventional move by the world's most valuable automaker."
2020-10-04,9 days ,indonesia says in early talks with tesla on potential investment,"indonesia's government is in early discussions with electric vehicles maker tesla inc  about a potential investment in the southeast asia country, a major producer of nickel, an official said."
2020-10-02,11 days ,"miner vale in talks with tesla, ev sector for canada nickel: executive",(this october 2 story officially corrects to remove reference to base metals in 10th para to clarify $2 bln investment is across whole company)
2020-10-01,12 days ,tesla to acquire german battery assembly maker: source,"tesla inc  has agreed to acquire german atw automation, a supplier assembling battery modules and packs for the auto industry, a source familiar with the transaction said on friday."
2020-10-01,12 days ,tesla to acquire german battery assembly maker -source,"tesla inc has agreed to acquire german atw automation, a supplier assembling battery modules and packs for the auto industry, a source familiar with the transaction said on friday."
2020-10-01,12 days ,"tesla reports record quarterly deliveries, but model 3 sales underwhelm bulls","tesla inc  on friday said it delivered 139,300 vehicles in the third quarter, a quarterly record for the electric carmaker, but shares fell 5.7% in pre-market trading."
2020-10-01,12 days ,tesla beats expectations for q3 vehicle deliveries,"tesla inc on friday beat wall street estimates for third-quarter vehicle deliveries, driven by higher demand for its mass-produced model 3 sedans."
2020-10-01,12 days ,tesla ceo musk suggests india entry in 2021,tesla inc chief executive elon musk indicated on friday that the u.s. electric carmaker will make a foray into india in 2021.
2020-09-30,13 days ,tesla autopilot scores low for driver engagement in european safety rating,"tesla inc's autopilot has ranked sixth in 10 driver assistance systems evaluated in a european safety assessment, scoring low on its ability to keep drivers engaged."
2020-09-30,13 days ,tesla cuts starting price for china-made model 3 cars by 8%,"u.s. electric car maker tesla cut the starting price of its chinese-made model 3 sedans on thursday by about 8% to 249,900 yuan ($36,805), once chinese subsidies for electric vehicles are taken into account, according to its china website."
2020-09-30,13 days ,tesla cuts starting price for china-made model 3 vehicles by 8%,"u.s. electric vehicle maker tesla inc cut on thursday the starting price for its china-made model 3 vehicles by around 8% to 249,900 yuan ($36,805.21) after receiving chinese subsidies for electric vehicles, according to its china website."
2020-09-29,14 days ,tesla to roll out china-made model 3 cars with cobalt-free lfp batteries: sources,"u.s. electric vehicle maker tesla inc  is poised to start selling some model 3 vehicles made in china equipped with cobalt-free lithium iron phosphate (lfp) batteries, two people familiar with the matter said."
2020-09-28,15 days ,shares of lg chem rise after report of tesla's interest in battery unit,"shares of lg chem ltd, which supplies batteries to tesla inc, climbed on tuesday, after media said the u.s. electric vehicle maker was looking to acquire a stake in a battery unit the south korean company wants to dispose of."
2020-09-27,16 days ,musk plans ipo for spacex's starlink business,"tesla inc chief executive officer elon musk plans to list spacex's space internet venture, starlink, several years in the future when revenue growth is smooth and predictable."
2020-09-27,16 days ,"australia's piedmont signs lithium ore supply deal with tesla, shares surge","piedmont lithium  on monday said it signed a five-year deal with tesla inc  to supply high-purity lithium ore mineral to the u.s. electric carmaker, prompting an 83% surge in the australian lithium miner's shares."
2020-09-24,19 days ,"electrified by tesla, chinese startups are on the charge","china's electric vehicle startups are on the charge again, thanks to tesla."
2020-09-23,20 days ,tesla's nevada lithium plan faces stark obstacles on path to production,"tesla inc's  plan to produce lithium for electric vehicle batteries close to its nevada gigafactory faces stark challenges from the outset, including an onerous permitting process, uncertain access to water and questions about unproven methodologies."
2020-09-23,20 days ,tesla seeks to build battery cells in berlin,"(this sept 23 story corrects headline, first and second paragraph to clarify that no application has been made for building battery cells)"
2020-09-22,21 days ,"factbox: tesla could struggle to implement some of its battery advances, experts say","the advanced battery cell design and new manufacturing processes outlined by tesla inc ceo elon musk are promising, battery experts say, but they questioned how quickly they can be implemented and how much they’ll contribute to reducing overall costs."
2020-09-22,21 days ,tesla's stock loses charge after musk's battery pitch,"tesla inc  shares slumped in early wall street trading as investors and analysts tried to make sense of chief executive elon musk's highly technical ""battery day"" presentation that set lofty targets but was hazy on near-term execution."
2020-09-22,21 days ,volkswagen's electric suv opens a new front against tesla,volkswagen ag's <vowg_p.de> u.s. subsidiary on wednesday revealed its id.4 electric sport utility vehicle and a pricing strategy aimed at opening a new front in competition with tesla inc and other automakers.
2020-09-22,21 days ,volkswagen reveals id.4 electric suv with 250-mile range,"volkswagen ag's u.s. subsidiary on wednesday revealed its electric sport utility vehicle id.4, which it aims to begin selling in the first quarter of 2021, and said the compact ev will have an estimated driving range of 250 miles."
2020-09-22,21 days ,"tesla's ""battery day"" drives reality check for recent share surge","tesla inc faced a stock market reality check on wednesday after a much hyped ""battery day"" event which wall street analysts judged chiefly for its omissions and hazy delivery deadlines."
2020-09-22,21 days ,asian suppliers' shares slip on tesla's cheaper battery plan,shares of asian battery suppliers fell on wednesday after tesla inc  outlined a plan to halve the cost of its electric vehicle batteries and bring more production of the key auto component in-house.
