date,headline,Subjectivity,Polarity,Analysis
2020-10-12,"tesla cuts prices of model s in united states, china",0.0,0.0,Neutral
2020-10-12,"tesla cuts prices of model s variant in united states, china",0.0,0.0,Neutral
2020-10-10,tesla battery supplier lg chem forecasts record third-quarter profit,0.0,0.0,Neutral
2020-10-07,ex-tesla exec straubel aims to build world's top battery recycler,0.5,0.5,Positive
2020-10-06,"musk says tesla to use new batteries, tech at berlin factory; flags production risk",0.45454545454545453,0.13636363636363635,Positive
2020-10-06,"tesla has a shot at producing 500,000 cars this year, musk says in memo",0.0,0.0,Neutral
2020-10-06,tesla has a shot at producing half a million cars in 2020- memo,0.16666666666666666,-0.16666666666666666,Negative
2020-10-05,tesla in talks with bhp over nickel supply pact - bloomberg news,0.0,0.0,Neutral
2020-10-05,tesla's quarterly report could land musk another $3 billion,0.0,0.0,Neutral
2020-10-05,tesla disbands u.s. media relations team - electrek,0.0,0.0,Neutral
2020-10-04,indonesia says in early talks with tesla on potential investment,0.65,0.05,Positive
2020-10-02,"miner vale in talks with tesla, ev sector for canada nickel: executive",0.0,0.0,Neutral
2020-10-01,tesla to acquire german battery assembly maker: source,0.0,0.0,Neutral
2020-10-01,tesla to acquire german battery assembly maker -source,0.0,0.0,Neutral
2020-10-01,"tesla reports record quarterly deliveries, but model 3 sales underwhelm bulls",0.0,0.0,Neutral
2020-10-01,tesla beats expectations for q3 vehicle deliveries,0.0,0.0,Neutral
2020-10-01,tesla ceo musk suggests india entry in 2021,0.0,0.0,Neutral
2020-09-30,tesla autopilot scores low for driver engagement in european safety rating,0.15,0.0,Neutral
2020-09-30,tesla cuts starting price for china-made model 3 cars by 8%,0.1,0.0,Neutral
2020-09-30,tesla cuts starting price for china-made model 3 vehicles by 8%,0.1,0.0,Neutral
2020-09-29,tesla to roll out china-made model 3 cars with cobalt-free lfp batteries: sources,0.0,0.0,Neutral
2020-09-28,shares of lg chem rise after report of tesla's interest in battery unit,0.0,0.0,Neutral
2020-09-27,musk plans ipo for spacex's starlink business,0.0,0.0,Neutral
2020-09-27,"australia's piedmont signs lithium ore supply deal with tesla, shares surge",0.0,0.0,Neutral
2020-09-24,"electrified by tesla, chinese startups are on the charge",0.0,0.0,Neutral
