date,date_posted,headline,text
2020-10-11 00:00:00,1 day ,Tesla battery supplier LG Chem forecasts record third-quarter profit,"South Korea's LG Chem Ltd, an electric vehicle (EV) battery supplier for Tesla and a petrochemicals maker, said on Monday its third-quarter operating profit likely jumped to a record high, beating analysts' estimates."
2020-10-07 00:00:00,5 days ,Ex-Tesla exec Straubel aims to build world's top battery recycler,"(This Oct 7 story corrects paragraph 4 to say 10,000 cars, not 100 cars)"
2020-10-07 00:00:00,5 days ,"Musk says Tesla to use new batteries, tech at Berlin factory; flags production risk","Tesla Inc <TSLA.O> Chief Executive Elon Musk said on Wednesday the company will produce Model Y with a new structural battery design and technology at its Berlin factory next year and that could result in a ""significant production risk""."
2020-10-06 00:00:00,6 days ,"Tesla has a shot at producing 500,000 cars this year, Musk says in memo","Tesla Inc <TSLA.O> has a chance at producing 500,000 cars this year, Chief Executive Officer Elon Musk told employees, according to an internal email seen by Reuters."
2020-10-06 00:00:00,6 days ,Tesla has a shot at producing half a million cars in 2020- memo,"Tesla Inc has a chance at producing 500,000 cars this year, Chief Executive Officer Elon Musk told employees, according to an internal mail viewed by Reuters."
2020-10-05 00:00:00,7 days ,Tesla in talks with BHP over nickel supply pact - Bloomberg News,"Tesla Inc <TSLA.O> is in talks with BHP Group <BHP.AX> about a nickel supply deal as the electric-car maker targets higher production and seeks to avoid a supply crunch, Bloomberg News reported on Tuesday, citing people familiar with the matter."
2020-10-05 00:00:00,7 days ,Tesla's quarterly report could land Musk another $3 billion,Tesla's <TSLA.O> upcoming quarterly report could put another $3 billion (£2.32 billion) in Chief Executive Elon Musk's pocket.
2020-10-05 00:00:00,7 days ,Tesla disbands U.S. media relations team - Electrek,"Tesla Inc has dissolved its media relations team in the United States, news website Electrek reported on Tuesday, in yet another unconventional move by the world's most valuable automaker."
2020-10-04 00:00:00,8 days ,Indonesia says in early talks with Tesla on potential investment,"Indonesia's government is in early discussions with electric vehicles maker Tesla Inc <TSLA.O> about a potential investment in the Southeast Asia country, a major producer of nickel, an official said."
2020-10-02 00:00:00,10 days ,"Miner Vale in talks with Tesla, EV sector for Canada nickel: executive",(This October 2 story officially corrects to remove reference to base metals in 10th para to clarify $2 bln investment is across whole company)
2020-10-02 00:00:00,10 days ,Tesla to acquire German battery assembly maker: source,"Tesla Inc <TSLA.O> has agreed to acquire German ATW Automation, a supplier assembling battery modules and packs for the auto industry, a source familiar with the transaction said on Friday."
2020-10-01 00:00:00,11 days ,Tesla to acquire German battery assembly maker -source,"Tesla Inc has agreed to acquire German ATW Automation, a supplier assembling battery modules and packs for the auto industry, a source familiar with the transaction said on Friday."
