,Date,Text
0,2020-09-10T21:45:09Z,"Tesla (TSLA) closed at $371.34 in the latest trading session, marking a +1.38% move from the prior day. The stock outpaced the S&amp;P 500's daily loss of 1.76%. At the same time, the Dow lost 1.45%,… [+2900 chars]"
1,2020-09-10T17:30:19Z,Tesla Inc (NASDAQ: TSLA) shares recovered more of their losses on Thursday after the stock logged its worst day in history to open the week. Tesla shares dropped more than 21% on Tuesday due to S&amp… [+3075 chars]
2,2020-09-10T17:23:00Z,"The Dow Jones Industrial Average turned lower in today's stock market, erasing strong gains from early morning trading. The blue-chip index began to rise Thursday before selling off over 100 points i… [+4738 chars]"
3,2020-09-10T17:12:36Z,"Since coming public in a reverse merger in early June, shares of Nikola Corp. (NASDAQ: NKLA) nearly tripled in less than a week of trading before dropping below the IPO price by the end of July. The … [+1981 chars]"
4,2020-09-10T17:08:16Z,"Electric vehicle (EV) startup Lucid Motors officially unveiled its Lucid Air EV on Wednesday and began taking orders for three of its planned four models. For a refundable deposit of $1,000, customer… [+4808 chars]"
5,2020-09-10T16:00:20Z,Zoom Video Communications (ZM) arguably provides the best self-serve web video conferencing service on the planet. I've used many web conferencing solutions and none are as user friendly as Zoom. It'… [+7728 chars]
6,2020-09-10T15:37:12Z,"Tesla Inc (NASDAQ: TSLA) had the worst trading day in the stock's history Tuesday but it seems Ark Invest's Cathie Wood may see an opportunity in the pullback. 
On Sept. 8, Ark was buying back share… [+1097 chars]"
7,2020-09-10T15:30:00Z,"Article Thesis
In 2020, tech stocks, including the well-known high-flyers, have been the clear winners. The profited from the work-from-home trend, increased online shopping, and very positive marke… [+14757 chars]"
8,2020-09-10T15:00:11Z,"Shares of Tesla Inc. 
 TSLA, 
 +5.59%
rose 4.8% in morning trading, but has pared gains after rising intraday past the first key Fibonacci retracement target. The stock was up as much as 8.9% at i… [+807 chars]"
9,2020-09-10T14:31:25Z,Whitney Tilson’s email to investors discussing Reed Hastings’ new book and interviews; Winning championships by having only stars on your team; Hastings Deems Remote Work ‘a Pure Negative’; Silicon V… [+2939 chars]
10,2020-09-10T13:47:39Z,"Getty Images
Getty Images
Key Takeaways:
<ul><li>Weekly jobless claims rise more than expected</li><li>August producer price index in line with forecasts</li><li>GameStop 
 GME
 reports larger-t… [+8737 chars]"
11,2020-09-10T13:42:04Z,Electric vehicle manufacturer Tesla Inc (NASDAQ:TSLA) maintained its vehicle deliveries in China this August after industry data sourced by Reuters earlier this week revealed that the company had del… [+4000 chars]
12,2020-09-10T13:37:00Z,"NEW YORK, Sept. 10, 2020 /PRNewswire/ -- InvestorsObserver issues critical PriceWatch Alerts for RH, PENN, TSLA, PTON, and GE.
Click a link below then choose between in-depth options trade idea repo… [+560 chars]"
13,2020-09-10T13:06:05Z,"BRAZIL - 2020/09/09: In this photo illustration the Carvana logo displayed on a smartphone. (Photo ... [+] Illustration by Rafael Henrique/SOPA Images/LightRocket via Getty Images)
SOPA Images/Light… [+21868 chars]"
14,2020-09-10T12:46:00Z,"The Dow Jones Industrial Average rallied more than 200 points early Thursday before trimming gains, extending gains in the wake of Wednesday's big stock market rally. Dow Jones leaders Apple and Micr… [+6729 chars]"
15,2020-09-10T11:37:55Z,"This article first appeared on Trend Investing on August 10, 2020; therefore all data is as of this date.
After the past 1-2 years trade war-COVID-19 induced lull in electric vehicle [EV] sales, sud… [+17150 chars]"
16,2020-09-10T10:55:34Z,"Apple (AAPL) rebounded ~4% after the stock took a drubbing in the first few trading days in September. As my research predicted, the hype surrounding the stock split on August 31 finally led to a sel… [+6615 chars]"
17,2020-09-10T10:37:38Z,"If youre a trader, its OK to complain about the arcane dynamics of options dealers and their seemingly nefarious influence on the stock market. But if youre a long-term investor, dont waste time deba… [+3675 chars]"
18,2020-09-10T08:19:20Z,"Tesla Inc (NASDAQ: TSLA) CEO Elon Musk made comments on social media late Wednesday that he perceives the electric vehicle maker to be a collection of a dozen startups,"" rather than a single company.… [+1865 chars]"
19,2020-09-10T06:28:20Z,"While the largest tech companies have leapt in price, aggregate earnings for NASDAQ 100 companies have fallen 30% year to date. Before last weeks modest sell-off, the largest five - Apple (AAPL), Mic… [+2054 chars]"
20,2020-09-10T03:06:16Z,"Did you lose any sleep over the past week over sinking share prices on the ASX and global markets?
If so, you’re not alone. Although fretting over the daily price swings of the shares in your portfo… [+5175 chars]"
21,2020-09-10T02:47:38Z,"Lucid Motors on Wednesday unveiled the Lucid Air electric sedan in a web broadcast, its answer to Tesla Incs (NASDAQ: TSLA) Model S vehicle.
What Happened: The deliveries of the new electric sedan a… [+1460 chars]"
22,2020-09-10T02:25:13Z,"Investment Thesis
Ark Funds has a proven track record, since its founding in 2014, of producing well above market returns with actively managed ETFs focused on disruptive innovation in multiple tech… [+19725 chars]"
23,2020-09-09T22:23:00Z,"Stock futures were little changed Wednesday evening, as investors assessed the regular-session rally and an at least temporary resurgence in technology shares.
The tech stocks pummeled over the past… [+2875 chars]"
24,2020-09-09T22:16:18Z,"Tesla Inc (NASDAQ: TSLA) rebounded by 11% on Wednesday after logging its worst day in history on Tuesday. Tesla shares are now down 27% in September, and option market activity on Wednesday suggests … [+4038 chars]"
25,2020-09-09T20:43:35Z,"<ul><li>Dow Jones Industrial Average rose 439.78 points or 1.6%.</li><li>S&amp;P 500 gained 67.22 points, or 2.02%.</li><li>Nasdaq composite added 293.87 points, or 2.71%.</li></ul>US stocks on Wall … [+1103 chars]"
26,2020-09-09T20:30:30Z,"Commenting on AstraZeneca’s vaccine-related setback and todays trading Gorilla Trades strategist Ken Berman said:
Get Our Activist Investing Case Study!
Get the entire 10-part series on our in-dept… [+2492 chars]"
27,2020-09-09T19:21:56Z,"Tortoise Acquisition Corp (NYSE: SHLL), a SPAC that's trading more than 400% higher on the year, is set to merge later this month with Hyliion.
What Happened: Tortoise Acquisition filed for a shareh… [+1151 chars]"
28,2020-09-09T18:00:06Z,"Tesla and S&amp;P 500 Inclusion
There was a great deal of surprise last Friday afternoon when S&amp;P Dow Jones Indices announced the quarterly re-balancing of its S&amp;P 500 index and did not incl… [+9055 chars]"
29,2020-09-09T17:39:26Z,"Perhaps it is due to the innovation cycle, but companies seem to emerge every two-to-three decades that are so powerful, and their business models so unassailable, it becomes nearly impossible to ima… [+11534 chars]"
30,2020-09-09T16:12:00Z,"Tech stocks powered the Nasdaq while the Dow Jones Industrial Average held a 500-point gain midday Wednesday, as stocks aim to recover from three days of steep losses.
XThe Nasdaq rallied 2.7% after… [+5230 chars]"
31,2020-09-09T16:08:30Z,"Introduction
It seems that AT&amp;T (NYSE:T) shares have gone entirely out of fashion. Not here on Seeking Alpha, where several worth reading analyses about the company are published almost daily. W… [+8239 chars]"
32,2020-09-09T16:00:00Z,"Thats Bill Blain, strategist at Londons Shard Capital, painting a rather grim picture in his Morning Porridge note for a stock hes been warning about, mostly wrongly, for years. Yes, finally, its a g… [+1770 chars]"
33,2020-09-09T15:39:05Z,"getty
The stock market dealt a blow to the bears today, as it reversed course on its most difficult week since the height of the pandemic. At the opening bell, the Dow Jones Industrial Average was u… [+6575 chars]"
34,2020-09-09T15:23:53Z,"getty
Markets set the stage for a higher open this morning as investors looked to snap up some discounted stocks after several days of heavy losses, especially in the Technology sector. The Dow was … [+6804 chars]"
35,2020-09-09T15:11:07Z,"NEW YORK, UNITED STATES - 2020/05/27: Wall Street sign in front of New York Stock Exchange during ... [+] the reopening. All 50 states in the USA have begun a gradual process to slowly reopen, US sto… [+4035 chars]"
36,2020-09-09T15:11:07Z,"NEW YORK, UNITED STATES - 2020/05/27: Wall Street sign in front of New York Stock Exchange during ... [+] the reopening. All 50 states in the USA have begun a gradual process to slowly reopen, US sto… [+4070 chars]"
38,2020-09-09T14:58:39Z,"Juhele / Pixabay
Since then, shares of Tesla are down more than 17%.
Data by YCharts
Let's look at how the hedge ameliorated that slide and briefly discuss courses of action for hedged Tesla Inc l… [+2949 chars]"
39,2020-09-09T14:04:42Z,"Written by Nick Ackerman, co-produced by Stanford Chemist
NextEra Energy Inc. (NEE) is a leading renewable energy utility company. This focus on renewables and strong growth have pushed their valuat… [+11953 chars]"
40,2020-09-09T13:53:58Z,"The electric-car revolution appears to be just getting started.Tesla Inc.
 TSLA, 
 +7.16%
has delivered a stunning stock-market performance, even with this months plunge, while many other electric… [+15945 chars]"
41,2020-09-09T13:42:47Z,"Getty Images
Getty Images
Key Takeaways:
<ul><li>Tech stocks have positive tone this morning after 10% correction in three days</li><li>Crude bounces back slightly but remains near three-month low… [+10585 chars]"
42,2020-09-09T13:35:15Z,"Virgin Galactic (NASDAQ:SPCE), the pre-revenue commercial spaceflight company, has seen its stock price largely rangebound in the sub-$20 zone following a plunge from all-time highs back in February … [+3701 chars]"
43,2020-09-09T13:35:15Z,"Virgin Galactic (NASDAQ:SPCE), the pre-revenue commercial spaceflight company, has seen its stock price largely rangebound in the sub-$20 zone following a plunge from all-time highs back in February … [+3699 chars]"
44,2020-09-09T13:31:00Z,"NEW YORK, Sept. 9, 2020 /PRNewswire/ -- InvestorsObserver issues critical PriceWatch Alerts for TSLA, PFE, BABA, MCD, and JAZZ.
Click a link below then choose between in-depth options trade idea rep… [+561 chars]"
45,2020-09-09T13:14:36Z,"BY THE NUMBERS
U.S. stock futures were pointing to a bounce at Wednesday's open after a punishing three-session losing streak that sent tech stocks plunging and the Nasdaq into a 10% correction from… [+5740 chars]"
46,2020-09-09T13:07:27Z,"An Uber sign is displayed inside a car in Chicago, Friday, May 15, 2020. Beginning next Monday, May ... [+] 18, both riders and drivers will have to wear masks or face coverings for the duration of U… [+22429 chars]"
47,2020-09-09T12:57:37Z,General Motors Company (GM) stock gained nearly 8% Tuesday after the traditional carmaker announced that it had entered a strategic alliance with Nikola Corporation (NKLA) to engineer and build the e… [+4167 chars]
48,2020-09-09T12:12:00Z,"Dow Jones futures rallied more than 200 points early Wednesday, while tech futures were sharply higher, despite coronavirus vaccine news after Tuesday's stock market sell-off. Dow Jones leaders Apple… [+6125 chars]"
49,2020-09-09T12:02:00Z,"From an early age, Oliver Kell, a 2020 US Investing Championship contender, was captivated by financial markets.
""I kind of always knew what the markets were,"" he told Business Insider. ""My dad was … [+4670 chars]"
50,2020-09-09T11:52:39Z,Technology giant Apple (NASDAQ:AAPL) had been one of the market's biggest winners in the past few months. The company's Q3 report and stock split announcement sent the stock to a new all-time high ab… [+4171 chars]
51,2020-09-09T11:36:30Z,"Credit Suisse resumes coverage on Virgin Galactic (NYSE:SPCE) with an Outperform rating and price target of $24.
""We now know to expect two more test flights, both powered, one with two pilots and t… [+888 chars]"
52,2020-09-09T10:44:00Z,"Tesla Chief Executive Elon Musk did warn you.In May, when the electric vehicles stock was less than half its current value (adjusted for the split), Musk famously tweeted that his company was overval… [+4985 chars]"
53,2020-09-09T10:01:45Z,"Wednesday, September 9, 2020
Get the Morning Brief sent directly to your inbox every Monday to Friday by 6:30 a.m. ET. 
Subscribe
Stocks slid again on Tuesday.
After dropping hard on Thursday and… [+7503 chars]"
54,2020-09-09T08:32:34Z,"Tesla Incs (NASDAQ: TSLA) Model Y is a reference car for other automakers, according to Volkswagen AG (OTC: VWAGY) Herbert Diess.
What Happened: A day after he disclosed that the Palo Alto-based ele… [+1603 chars]"
55,2020-09-09T07:35:53Z,"The COVID-19 global pandemic has propelled forward the rise of our digital economy. In the words of Satya Nadella, CEO of Microsoft (MSFT):
""We've seen two years' worth of digital transformation in … [+27085 chars]"
56,2020-09-09T06:48:13Z,"Panasonic Corp (OTC: PCRFY) is expanding its production line at Tesla Incs (NASDAQ: TSLA) Nevada Gigafactory in order to boost battery manufacturing capacity, the Reno Gazette Journal reported Tuesda… [+1696 chars]"
57,2020-09-09T05:21:06Z,"(Source: Jervois Mining April 2020 Investor Presentation)
Investment Thesis
Jervois Mining (OTCQB:JRVMF) represents an intriguing play on rising cobalt consumption, driven in part by the rise of el… [+12068 chars]"
58,2020-09-09T03:02:00Z,"The Afterpay Ltd(ASX: APT) share price is falling again today, down 1.72% in early afternoon trading.
The Australian buy now, pay later (BNPL) star saw its share price peak on 25 August at $92.48 pe… [+3027 chars]"
59,2020-09-09T02:49:29Z,"Tesla Inc (NASDAQ: TSLA) shares fell over 21% at Tuesday's closing marking the worst day of declines for the automaker after it was left out of the prestigious S&amp;P 500 index.
What Happened: The … [+1157 chars]"
60,2020-09-09T02:13:27Z,"It was bound to happen sooner or later.
Like Icarus flying too high too fast only to have the sun melt the wax holding his wings together, the share market correction we’re witnessing right now was … [+5199 chars]"
61,2020-09-09T00:20:42Z,"What a difference a week can make. Last Tuesday morning, electric vehicle maker Tesla (TSLA) saw its shares hit a pre-market high of $538.75 as its stock split euphoria continued. However, US markets… [+5275 chars]"
62,2020-09-09T00:17:12Z,"Tech stocks continued their lightning-quick selloff on Tuesday, with the Nasdaq closing 4% lower to enter correction territory as Wall Street returns from its summer break. The selling, as to be expe… [+6741 chars]"
63,2020-09-08T22:48:23Z,"I. NYSs Comptroller Blasts ESD in a Draft Audit Report
Several weeks ago, New York State Comptroller Thomas P. DiNapoli issued a blistering audit report detailing the staggering incompetence of the … [+14296 chars]"
65,2020-09-08T22:31:31Z,"Note: This article is a rebuttal piece to Open Insight's 7th Newsletter. 
Howard Marks famously wrote in his book, ""The Most Important Thing"" about the power of the pendulum:
Those who believe that… [+8368 chars]"
